@RELATION user-movie

@ATTRIBUTE user STRING
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC 
@ATTRIBUTE item_rating STRING
@ATTRIBUTE sentiment STRING

@DATA
0,2:175,5,5,movie:+1 characters:+1 movies:-1 character:-1 movie:-1 </endperson0>
0,7:175,4,3,characters:+1 films:-1 disk:-1 bonus:-1 scenes:-1 </endperson1>
0,8:175,4,5,movies:+1 films:+1 cast:+1 movie:+1 scenes:+1 specialeffects:+1 performances:+1 films:-1 </endperson2>
0,24:175,4,5,movie:+1 </endperson3>
0,71:175,4,5,movie:+1 actor:-1 character:-1 movie:-1 watch:-1 </endperson4>
0,115:175,3,5, </endperson5>
0,147:175,4,5,performance:+1 movie:+1 films:-1 </endperson6>
0,169:175,5,4,isnt:+1 films:-1 character:-1 </endperson7>
0,188:175,4,3,isnt:+1 scenes:-1 </endperson8>
0,189:175,4,5,movie:+1 isnt:+1 specialeffects:+1 isnt:-1 </endperson9>
0,585:175,4,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson10>
0,608:175,4,5,films:+1 performance:+1 films:-1 isnt:-1 </endperson11>
0,642:175,4,4,soundtrack:+1 plot:+1 tfeel:+1 </endperson12>
631,16:1398,3,3,isnt:+1 actionsequences:+1 </endperson13>
631,75:1398,3,3,plot:+1 </endperson14>
631,177:1398,4,4,character:-1 </endperson15>
631,614:1398,4,4,character:+1 characters:+1 character:-1 </endperson16>
631,615:1398,4,3,comedy:+1 thriller:-1 </endperson17>
631,901:1398,4,3,character:+1 movie:+1 isnt:+1 movie:-1 </endperson18>
242,561:78,4,2,acting:+1 </endperson19>
6,137:767,5,3,character:-1 choc:-1 </endperson20>
6,588:767,4,3, </endperson21>
81,9:468,4,3, </endperson22>
7,79:996,4,4,films:+1 movie:+1 directors:+1 specialeffects:+1 haunting:-1 plot:-1 </endperson23>
7,142:996,4,3,ending:+1 isnt:+1 scenes:-1 </endperson24>
7,244:996,4,3,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson25>
7,488:996,4,4,films:-1 </endperson26>
7,576:996,4,5,films:+1 </endperson27>
122,79:520,5,4,soundtrack:+1 </endperson28>
122,242:520,4,5,soundtrack:+1 performance:+1 </endperson29>
50,35:243,4,5,soundtrack:+1 movie:+1 script:+1 </endperson30>
50,224:243,2,4, </endperson31>
50,309:243,4,5,soundtrack:+1 character:+1 specialeffects:+1 </endperson32>
50,514:243,4,4,soundtrack:+1 films:-1 character:-1 </endperson33>
50,729:243,3,4,comedy:+1 </endperson34>
392,237:351,5,2,tlook:+1 </endperson35>
392,488:351,4,4,films:+1 watch:-1 </endperson36>
392,547:351,4,1,actor:+1 character:+1 movie:+1 isnt:+1 cringe:+1 </endperson37>
392,553:351,4,5,isnt:+1 character:-1 </endperson38>
392,585:351,4,1,characterisation:+1 romance:-1 peroxide:-1 soundtrack:-1 character:-1 credits:-1 percussion:-1 </endperson39>
392,640:351,5,5,trailer:+1 actress:+1 tension:+1 </endperson40>
489,559:575,4,4,isnt:+1 character:-1 </endperson41>
489,608:575,4,5,films:+1 scenes:+1 isnt:-1 scene:-1 </endperson42>
473,674:418,4,4,movie:-1 </endperson43>
473,901:418,4,4,isnt:+1 menus:+1 scenes:-1 </endperson44>
128,79:259,4,2,diamond:+1 films:-1 prom:-1 </endperson45>
128,410:259,4,5,movie:-1 </endperson46>
914,313:1438,4,4,movie:+1 movie:-1 </endperson47>
591,384:730,5,5,movie:+1 characters:+1 isnt:+1 character:-1 movie:-1 reviews:-1 </endperson48>
465,779:680,3,5,soundtrack:+1 </endperson49>
465,940:680,4,4,mom:-1 </endperson50>
237,128:824,4,3,wi:+1 character:+1 performance:+1 movie:+1 </endperson51>
585,79:1877,4,3,films:+1 star:+1 director:+1 movies:-1 movie:-1 </endperson52>
630,644:2319,3,4, </endperson53>
806,443:1429,4,4,scharacter:+1 isnt:-1 </endperson54>
806,777:1429,4,4,tshow:+1 </endperson55>
480,677:1457,4,2, </endperson56>
480,829:1457,4,5, </endperson57>
309,198:1558,5,5,accent:+1 </endperson58>
