user,item,helped_rating,rating,sentiment,hu_sentiment
67,66:248,3,3, </endperson0>, </endperson0>
67,109:248,4,4, </endperson1>,</endperson1>
67,132:248,4,5,character:-1 </endperson2>,</endperson2>
67,175:248,4,2,isnt:+1 </endperson3>,</endperson3>
67,183:248,4,4,films:+1 performance:+1 movie:+1 </endperson4>,</endperson4>
67,190:248,4,3, </endperson5>,</endperson5>
466,314:759,4,5,character:+1 watch:+1 movie:-1 </endperson6>,character:+1 watch:+1 movie:-1 </endperson6>
69,58:260,4,5, </endperson7>, </endperson7>
69,191:260,4,3,movie:+1 acting:+1 </endperson8>,</endperson8>
69,508:260,4,4,movies:+1 isnt:+1 specialeffects:-1 </endperson9>,</endperson9>
0,67:175,4,3,movies:+1 snothing:+1 actor:-1 </endperson10>,movies:+1 snothing:+1 actor:-1 </endperson10>
0,76:175,3,4, </endperson11>,</endperson11>
0,133:175,4,5,lighting:+1 performances:+1 movie:-1 </endperson12>,</endperson12>
0,151:175,4,5,character:+1 actor:-1 </endperson13>,</endperson13>
0,465:175,4,4, </endperson14>,</endperson14>
329,263:1333,4,5,budget:-1 </endperson15>,budget:-1 </endperson15>
329,346:1333,4,5,humour:-1 budget:-1 </endperson16>,</endperson16>
329,382:1333,4,4,video:-1 </endperson17>,</endperson17>
329,573:1333,5,4,budget:-1 acting:-1 </endperson18>,</endperson18>
329,748:1333,5,5,movie:-1 comedy:-1 </endperson19>,</endperson19>
329,760:1333,3,5,scenes:-1 </endperson20>,</endperson20>
556,555:940,4,5,films:+1 </endperson21>,films:+1 </endperson21>
432,318:939,4,5, </endperson22>, </endperson22>
432,414:939,3,5, </endperson23>,</endperson23>
432,459:939,4,5,movies:+1 cast:+1 soundtrack:+1 comedy:+1 </endperson24>,</endperson24>
261,1:216,4,5,cast:-1 </endperson25>,cast:-1 </endperson25>
261,220:216,4,1,characterisation:-1 acting:-1 </endperson26>,</endperson26>
261,257:216,4,5, </endperson27>,</endperson27>
261,638:216,4,2,movie:+1 tlook:+1 snothing:+1 actors:-1 </endperson28>,</endperson28>
261,650:216,4,5, </endperson29>,</endperson29>
318,463:904,4,4,isnt:-1 </endperson30>,isnt:-1 </endperson30>
318,5:395,4,5, </endperson31>, </endperson31>
466,472:496,3,3, </endperson32>, </endperson32>
487,8:394,4,5,films:+1 films:-1 character:-1 </endperson33>,films:+1 films:-1 character:-1 </endperson33>
487,445:394,5,5,arent:+1 werent:+1 movie:+1 actors:-1 performances:-1 </endperson34>,</endperson34>
255,361:190,4,5, </endperson35>, </endperson35>
2,0:78,4,3,character:+1 reviews:+1 acting:+1 character:-1 </endperson36>,character:+1 reviews:+1 acting:+1 character:-1 </endperson36>
2,103:78,4,4,acting:+1 </endperson37>,</endperson37>
2,147:78,4,4,wi:+1 chemistry:-1 </endperson38>,</endperson38>
2,170:78,4,3,moments:-1 </endperson39>,</endperson39>
2,395:78,3,3,humour:+1 </endperson40>,</endperson40>
369,253:1327,3,4, </endperson41>, </endperson41>
369,382:1327,4,4,isnt:-1 </endperson42>,</endperson42>
369,716:1327,2,5, </endperson43>,</endperson43>
369,722:1327,2,5,budget:-1 </endperson44>,</endperson44>
9,0:0,4,3,character:+1 character:-1 </endperson45>,character:+1 character:-1 </endperson45>
9,67:0,3,4,underdog:+1 movie:+1 films:-1 </endperson46>,</endperson46>
9,180:0,4,4,scenes:-1 </endperson47>,</endperson47>
7,103:629,4,1,studios:+1 movie:+1 script:-1 </endperson48>,studios:+1 movie:+1 script:-1 </endperson48>
7,447:629,4,1,movie:+1 character:-1 movie:-1 </endperson49>,</endperson49>
7,469:629,5,4,movie:+1 </endperson50>,</endperson50>
7,499:629,3,2, </endperson51>,</endperson51>
7,500:629,4,3,performance:+1 watch:-1 budget:-1 </endperson52>,</endperson52>
449,332:473,5,4, </endperson53>, </endperson53>
449,594:473,4,2,character:+1 plot:-1 </endperson54>,</endperson54>
