user,item,rating,sentiment,help_user,value,help_sentiment,helped_sim
0,0,3,character:+1 character:-1 </endperson0>,</endperson0>,</endperson0>,</endperson0>, </endperson0>
0,1,3,films:+1 performance:+1 isnt:+1 character:-1 tfeel:-1 </endperson1>,96;;;;459;;;;465;;;;466</endperson1>,4;;;;4;;;;4;;;;4</endperson1>,script:-1 ;;;;cringe:+1 isnt:+1 baddie:+1 acting:+1 character:-1 ;;;;character:+1 plot:-1 timing:-1 ;;;;actor:+1 reviews:+1 plot:+1 storyline:+1 </endperson1>,0.3587414706208458;;;;0.44240752472998546;;;;0.26361251489064463;;;;0.48876658462444866 </endperson1>
0,2,5,actress:+1 isnt:-1 </endperson2>,2;;;;14;;;;103;;;;113;;;;123;;;;190;;;;282;;;;478</endperson2>,4;;;;4;;;;4;;;;5;;;;4;;;;4;;;;4;;;;4</endperson2>,movies:+1 scenes:-1 ;;;;scenes:+1 ;;;;tension:+1 movie:+1 acting:+1 prom:-1 scene:-1 ;;;;movie:+1 ;;;;acting:+1 ;;;;specialeffects:+1 scenes:+1 scenery:+1 ;;;;films:+1 cast:+1 character:+1 ;;;;actor:+1 </endperson2>,0.3598002837136889;;;;0.46783280286759577;;;;0.5730363276244884;;;;0.335137914199207;;;;0.44081553580798083;;;;0.33711712220639845;;;;0.39727722273424215;;;;0.416124803366138 </endperson2>
0,3,4,performance:+1 isnt:+1 acting:+1 isnt:-1 </endperson3>,8;;;;500</endperson3>,4;;;;4</endperson3>,tfeel:+1 ;;;;acting:+1 </endperson3>,0.4007143183039674;;;;0.3063698092241327 </endperson3>
0,4,3,character:-1 isnt:-1 </endperson4>,297;;;;397;;;;446;;;;466;;;;483;;;;513</endperson4>,4;;;;4;;;;4;;;;4;;;;4;;;;4</endperson4>,isnt:+1 ;;;;character:-1 ;;;;cast:+1 character:-1 ;;;;moments:-1 ;;;;character:+1 moments:+1 plot:+1 character:-1 moments:-1 acting:-1 ;;;;character:+1 characters:+1 character:-1 </endperson4>,0.48730095264325124;;;;0.46325255480621164;;;;0.475554300223334;;;;0.48876658462444866;;;;0.370400002885907;;;;0.21098432002631662 </endperson4>
0,5,3,scenes:+1 </endperson5>,30;;;;465</endperson5>,4;;;;4</endperson5>,movie:+1 scenes:+1 plot:-1 ;;;;movie:+1 isnt:+1 strings:-1 characters:-1 </endperson5>,0.2794419655178091;;;;0.26361251489064463 </endperson5>
0,6,4,films:-1 actress:-1 humour:-1 </endperson6>,7;;;;191;;;;293;;;;459</endperson6>,4;;;;4;;;;4;;;;4</endperson6>,actors:+1 character:+1 comedy:+1 acting:+1 comedy:-1 ;;;;humour:+1 performance:-1 ;;;;actor:+1 actors:-1 scenes:-1 ;;;;character:+1 plot:+1 scenes:+1 movie:-1 disc:-1 </endperson6>,0.3647114470038695;;;;0.35658557449058936;;;;0.17976266805368557;;;;0.44240752472998546 </endperson6>
0,7,4,isnt:+1 scenes:+1 isnt:-1 </endperson7>,7;;;;508</endperson7>,4;;;;4</endperson7>,chemistry:+1 storyline:+1 watch:-1 bonus:-1 ;;;;moments:-1 </endperson7>,0.3647114470038695;;;;0.3935420614529662 </endperson7>
0,8,3,character:-1 isnt:-1 </endperson8>,501;;;;758</endperson8>,3;;;;4</endperson8>,movie:+1 ;;;; </endperson8>,0.23018956943432856;;;;0.24492553843849274 </endperson8>
0,9,4,isnt:+1 horrorfilms:+1 character:-1 isnt:-1 </endperson9>,6;;;;99;;;;110;;;;180</endperson9>,4;;;;4;;;;4;;;;5</endperson9>,plot:+1 ;;;;films:+1 character:+1 scenes:+1 ;;;;movie:+1 acting:+1 character:-1 plot:-1 ;;;; </endperson9>,0.5525188173175202;;;;0.3658986603259411;;;;0.42322848799867474;;;;0.5030818805897084 </endperson9>
