user,item,helped_rating,rating,sentiment,hu_sentiment
69,58:260,4,5, </endperson7>, </endperson7>
2,395:78,3,3,humour:+1 </endperson40>,character:+1 reviews:+1 acting:+1 character:-1 </endperson40>
123,5:396,4,5,hero:+1 watch:-1 </endperson79>,hero:+1 watch:-1 </endperson79>
0,306:14,4,4,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson142>,stunt:+1 films:-1 </endperson142>
0,398:14,4,4,movie:+1 </endperson144>,stunt:+1 films:-1 </endperson144>
0,467:14,4,4,character:-1 fightsequences:-1 </endperson145>,stunt:+1 films:-1 </endperson145>
8,69:521,4,4,character:-1 </endperson148>,films:-1 surprises:-1 </endperson148>
8,88:521,4,4,backstories:+1 </endperson149>,films:-1 surprises:-1 </endperson149>
8,465:521,4,4, </endperson150>,films:-1 surprises:-1 </endperson150>
318,306:468,4,3,films:+1 watch:+1 scene:-1 </endperson240>,films:-1 moments:-1 </endperson240>
8,464:484,4,3,movie:+1 </endperson263>,isnt:-1 </endperson263>
308,191:556,5,3,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson318>,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson318>
2,147:258,4,4,isnt:+1 actionsequences:+1 chemistry:-1 characterdevelopment:-1 visuals:-1 </endperson328>,isnt:+1 actionsequences:+1 chemistry:-1 characterdevelopment:-1 visuals:-1 </endperson328>
7,8:574,4,4,cast:+1 performance:+1 tanything:-1 </endperson353>,cast:+1 performance:+1 tanything:-1 </endperson353>
7,157:574,4,5,films:-1 </endperson358>,cast:+1 performance:+1 tanything:-1 </endperson358>
67,190:402,4,4,performance:+1 </endperson416>,character:+1 character:-1 </endperson416>
7,191:556,4,3,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson482>,films:+1 movie:+1 directors:+1 specialeffects:+1 haunting:-1 plot:-1 </endperson482>
5,189:27,4,3,pirateradio:-1 </endperson497>,movie:+1 cast:-1 script:-1 </endperson497>
5,291:27,5,5,acting:+1 character:-1 watch:-1 </endperson498>,movie:+1 cast:-1 script:-1 </endperson498>
7,322:94,4,5, </endperson556>,movie:+1 </endperson556>
7,781:94,3,3, </endperson558>,movie:+1 </endperson558>
67,179:17,4,4,isnt:-1 performances:-1 acting:-1 </endperson589>,performance:+1 character:-1 </endperson589>
7,433:45,4,4,isnt:+1 films:-1 </endperson740>,actor:+1 ending:+1 watch:-1 storyline:-1 </endperson740>
465,88:521,4,4,backstories:+1 </endperson747>,backstories:+1 </endperson747>
7,190:402,4,4,performance:+1 </endperson815>,scenes:-1 </endperson815>
7,179:17,4,4,isnt:-1 performances:-1 acting:-1 </endperson931>,character:+1 movie:+1 </endperson931>
0,190:15,4,3, </endperson975>,ending:+1 </endperson975>
0,433:15,4,4,chemistry:+1 cast:+1 films:+1 character:+1 </endperson977>,ending:+1 </endperson977>
465,306:468,4,3,films:+1 watch:+1 scene:-1 </endperson1052>,actors:+1 movie:+1 screen:+1 movie:-1 </endperson1052>
465,466:468,4,3,character:+1 plot:+1 </endperson1053>,actors:+1 movie:+1 screen:+1 movie:-1 </endperson1053>
7,464:484,4,3,movie:+1 </endperson1148>,comedy:+1 character:-1 </endperson1148>
69,426:396,4,2, </endperson1234>,tfeel:+1 beau:-1 </endperson1234>
7,506:89,4,5,films:+1 </endperson1407>,casting:+1 </endperson1407>
306,0:79,4,3,isnt:+1 isnt:-1 </endperson1424>,isnt:+1 isnt:-1 </endperson1424>
5,7:251,4,4,storyline:+1 bonus:-1 </endperson1457>,storyline:+1 bonus:-1 </endperson1457>
5,113:251,5,5,actors:+1 films:+1 performance:+1 director:+1 comedy:+1 screens:-1 comedy:-1 </endperson1459>,storyline:+1 bonus:-1 </endperson1459>
5,123:251,4,3,films:+1 actors:+1 movie:+1 isnt:+1 fiance:-1 performance:-1 watch:-1 </endperson1460>,storyline:+1 bonus:-1 </endperson1460>
5,306:251,4,5,reviews:-1 </endperson1461>,storyline:+1 bonus:-1 </endperson1461>
5,310:251,4,5,ending:+1 movie:-1 </endperson1462>,storyline:+1 bonus:-1 </endperson1462>
5,397:251,4,4,character:+1 video:+1 </endperson1463>,storyline:+1 bonus:-1 </endperson1463>
5,398:251,5,5,films:-1 character:-1 movie:-1 </endperson1464>,storyline:+1 bonus:-1 </endperson1464>
5,469:251,5,5,movie:+1 character:-1 </endperson1466>,storyline:+1 bonus:-1 </endperson1466>
7,190:79,4,4,character:-1 </endperson1520>,movies:+1 movie:+1 scenes:+1 movie:-1 </endperson1520>
69,398:64,4,5,comedy:+1 </endperson1564>,comedy:+1 </endperson1564>
67,97:547,4,4,actionscenes:+1 reviews:-1 </endperson1580>,performance:-1 moments:-1 </endperson1580>
7,157:415,4,3,performances:+1 </endperson1600>,actors:+1 actresses:-1 performances:-1 </endperson1600>
101,306:468,4,3,films:+1 watch:+1 scene:-1 </endperson1634>,chemistry:+1 acting:+1 </endperson1634>
101,466:468,4,3,character:+1 plot:+1 </endperson1636>,chemistry:+1 acting:+1 </endperson1636>
465,306:14,4,4,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson1640>,character:+1 roles:+1 scene:-1 </endperson1640>
465,398:14,4,4,movie:+1 </endperson1641>,character:+1 roles:+1 scene:-1 </endperson1641>
465,469:14,4,4, </endperson1642>,character:+1 roles:+1 scene:-1 </endperson1642>
123,5:146,4,5, </endperson1699>, </endperson1699>
433,5:396,4,5,hero:+1 watch:-1 </endperson1749>,hero:+1 watch:-1 </endperson1749>
0,426:50,4,5,wifes:-1 </endperson1760>,actor:+1 </endperson1760>
465,5:251,4,5,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson1883>,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson1883>
2,322:94,4,5, </endperson1911>,performance:+1 movie:+1 isnt:+1 </endperson1911>
2,781:94,3,3, </endperson1913>,performance:+1 movie:+1 isnt:+1 </endperson1913>
318,7:421,4,5,soundtrack:+1 chickflick:+1 bonus:-1 </endperson2024>,cast:+1 character:+1 </endperson2024>
7,132:487,5,5,watch:+1 scenes:+1 films:-1 </endperson2053>,scenes:+1 movie:-1 </endperson2053>
7,188:487,4,4,wasnt:-1 </endperson2054>,scenes:+1 movie:-1 </endperson2054>
7,290:487,5,1, </endperson2055>,scenes:+1 movie:-1 </endperson2055>
7,297:487,4,4,chemistry:+1 character:-1 </endperson2056>,scenes:+1 movie:-1 </endperson2056>
318,5:396,4,5,hero:+1 watch:-1 </endperson2072>,hero:+1 watch:-1 </endperson2072>
318,69:396,4,3, </endperson2074>,hero:+1 watch:-1 </endperson2074>
318,123:396,4,4,comedy:+1 scenes:+1 watch:-1 </endperson2075>,hero:+1 watch:-1 </endperson2075>
7,115:533,4,2,performance:+1 </endperson2145>, </endperson2145>
7,469:533,5,3,movie:-1 </endperson2150>, </endperson2150>
7,5:251,4,5,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson2217>,movie:+1 movie:-1 </endperson2217>
7,113:251,5,5,actors:+1 films:+1 performance:+1 director:+1 comedy:+1 screens:-1 comedy:-1 </endperson2220>,movie:+1 movie:-1 </endperson2220>
7,123:251,4,3,films:+1 actors:+1 movie:+1 isnt:+1 fiance:-1 performance:-1 watch:-1 </endperson2221>,movie:+1 movie:-1 </endperson2221>
7,190:251,4,5,wi:+1 isnt:+1 </endperson2222>,movie:+1 movie:-1 </endperson2222>
7,306:251,5,5,reviews:-1 </endperson2223>,movie:+1 movie:-1 </endperson2223>
7,319:251,4,4, </endperson2226>,movie:+1 movie:-1 </endperson2226>
7,397:251,4,4,character:+1 video:+1 </endperson2227>,movie:+1 movie:-1 </endperson2227>
7,398:251,5,5,films:-1 character:-1 movie:-1 </endperson2228>,movie:+1 movie:-1 </endperson2228>
7,469:251,5,5,movie:+1 character:-1 </endperson2231>,movie:+1 movie:-1 </endperson2231>
465,99:64,4,4,scenery:+1 moments:-1 </endperson2232>,scenery:+1 moments:-1 </endperson2232>
306,465:90,4,4,character:-1 strings:-1 brass:-1 pyrotechnics:-1 turns:-1 </endperson2240>,characters:+1 films:-1 disk:-1 bonus:-1 scenes:-1 </endperson2240>
123,7:251,4,4,storyline:+1 bonus:-1 </endperson2285>,storyline:+1 bonus:-1 </endperson2285>
123,113:251,4,5,actors:+1 films:+1 performance:+1 director:+1 comedy:+1 screens:-1 comedy:-1 </endperson2286>,storyline:+1 bonus:-1 </endperson2286>
123,190:251,4,5,wi:+1 isnt:+1 </endperson2287>,storyline:+1 bonus:-1 </endperson2287>
123,310:251,4,5,ending:+1 movie:-1 </endperson2288>,storyline:+1 bonus:-1 </endperson2288>
123,319:251,4,4, </endperson2289>,storyline:+1 bonus:-1 </endperson2289>
123,397:251,4,4,character:+1 video:+1 </endperson2290>,storyline:+1 bonus:-1 </endperson2290>
123,398:251,4,5,films:-1 character:-1 movie:-1 </endperson2291>,storyline:+1 bonus:-1 </endperson2291>
398,5:251,4,5,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson2327>,movie:+1 movie:-1 </endperson2327>
398,123:251,4,3,films:+1 actors:+1 movie:+1 isnt:+1 fiance:-1 performance:-1 watch:-1 </endperson2329>,movie:+1 movie:-1 </endperson2329>
398,190:251,4,5,wi:+1 isnt:+1 </endperson2330>,movie:+1 movie:-1 </endperson2330>
398,306:251,5,5,reviews:-1 </endperson2331>,movie:+1 movie:-1 </endperson2331>
398,310:251,4,5,ending:+1 movie:-1 </endperson2332>,movie:+1 movie:-1 </endperson2332>
398,319:251,5,4, </endperson2333>,movie:+1 movie:-1 </endperson2333>
398,397:251,4,4,character:+1 video:+1 </endperson2334>,movie:+1 movie:-1 </endperson2334>
398,469:251,5,5,movie:+1 character:-1 </endperson2335>,movie:+1 movie:-1 </endperson2335>
0,506:89,4,5,films:+1 </endperson2369>,casting:+1 </endperson2369>
308,433:45,4,4,isnt:+1 films:-1 </endperson2409>,movies:-1 </endperson2409>
7,395:78,4,3,humour:+1 </endperson2458>,character:+1 movies:-1 cinemas:-1 </endperson2458>
99,97:547,4,4,actionscenes:+1 reviews:-1 </endperson2488>,actionscenes:+1 reviews:-1 </endperson2488>
190,6:77,4,5,humour:+1 video:+1 sbusiness:+1 </endperson2566>,humour:+1 video:+1 sbusiness:+1 </endperson2566>
190,4:376,4,3, </endperson2615>, </endperson2615>
67,69:521,3,4,character:-1 </endperson2655>,acting:+1 </endperson2655>
67,88:521,4,4,backstories:+1 </endperson2657>,acting:+1 </endperson2657>
67,150:521,5,5,acting:+1 </endperson2660>,acting:+1 </endperson2660>
67,398:521,5,5,actor:+1 character:+1 comedy:+1 scenes:+1 acting:+1 character:-1 performances:-1 </endperson2664>,acting:+1 </endperson2664>
67,433:521,4,4,isnt:-1 humour:-1 </endperson2665>,acting:+1 </endperson2665>
