@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE help_user STRING
@ATTRIBUTE helped_rating STRING
@ATTRIBUTE help_sentiment STRING
@ATTRIBUTE help_sim STRING

@DATA
69,58:260,4, </endperson0>,58</endperson0>,5,movie:+1 specialeffects:+1 scenes:-1 </endperson0>,0.30269681372347323 </endperson0>
2,395:78,3,humour:+1 </endperson1>,395</endperson1>,3,character:+1 movies:-1 cinemas:-1 </endperson1>,0.42673424333161547 </endperson1>
123,5:396,4,hero:+1 watch:-1 </endperson2>,5</endperson2>,5,comedy:+1 scenes:+1 watch:-1 </endperson2>,0.35430437621898236 </endperson2>
0,306:14,4,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson3>,306</endperson3>,4,character:-1 isnt:-1 </endperson3>,0.4832070976939513 </endperson3>
0,398:14,4,movie:+1 </endperson4>,398</endperson4>,4,</endperson4>,0.34879619069607215 </endperson4>
0,467:14,4,character:-1 fightsequences:-1 </endperson5>,467</endperson5>,4,</endperson5>,0.37383504606509266 </endperson5>
8,69:521,4,character:-1 </endperson6>,69</endperson6>,4,movies:+1 cast:+1 plot:+1 character:-1 movie:-1 </endperson6>,0.49159528726951685 </endperson6>
8,88:521,4,backstories:+1 </endperson7>,88</endperson7>,4,</endperson7>,0.33557995379381866 </endperson7>
8,465:521,4, </endperson8>,465</endperson8>,4,</endperson8>,0.5081023420576253 </endperson8>
318,306:468,4,films:+1 watch:+1 scene:-1 </endperson9>,306</endperson9>,3,movie:+1 character:-1 </endperson9>,0.0 </endperson9>
8,464:484,4,movie:+1 </endperson10>,464</endperson10>,3,movie:+1 movie:-1 </endperson10>,0.0 </endperson10>
308,191:556,5,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson11>,191</endperson11>,3,specialeffects:+1 </endperson11>,0.26739061146548226 </endperson11>
2,147:258,4,isnt:+1 actionsequences:+1 chemistry:-1 characterdevelopment:-1 visuals:-1 </endperson12>,147</endperson12>,4,character:+1 movie:+1 character:-1 movie:-1 screen:-1 budget:-1 </endperson12>,0.522392226152617 </endperson12>
7,8:574,4,cast:+1 performance:+1 tanything:-1 </endperson13>,8</endperson13>,4,chemistry:+1 acting:+1 character:-1 sexreferences:-1 acting:-1 </endperson13>,0.0 </endperson13>
7,157:574,4,films:-1 </endperson14>,157</endperson14>,5,</endperson14>,0.0 </endperson14>
67,190:402,4,performance:+1 </endperson15>,190</endperson15>,4,scenes:-1 </endperson15>,0.276074412800574 </endperson15>
7,191:556,4,isnt:+1 character:-1 scenes:-1 scene:-1 </endperson16>,191</endperson16>,3,storyline:+1 scenes:+1 character:-1 </endperson16>,0.0 </endperson16>
5,189:27,4,pirateradio:-1 </endperson17>,189</endperson17>,3, </endperson17>,0.0 </endperson17>
5,291:27,5,acting:+1 character:-1 watch:-1 </endperson18>,291</endperson18>,5,</endperson18>,0.36528010684703816 </endperson18>
7,322:94,4, </endperson19>,322</endperson19>,5,filmchoice:+1 watch:-1 </endperson19>,0.0 </endperson19>
7,781:94,3, </endperson20>,781</endperson20>,3,</endperson20>,0.0 </endperson20>
67,179:17,4,isnt:-1 performances:-1 acting:-1 </endperson21>,179</endperson21>,4,movie:+1 tfeel:+1 films:-1 </endperson21>,0.353079857817728 </endperson21>
7,433:45,4,isnt:+1 films:-1 </endperson22>,433</endperson22>,4,scenes:+1 stunts:+1 moments:-1 sexreferences:-1 </endperson22>,0.0 </endperson22>
465,88:521,4,backstories:+1 </endperson23>,88</endperson23>,4, </endperson23>,0.5132695893373059 </endperson23>
7,190:402,4,performance:+1 </endperson24>,190</endperson24>,4,musicvideo:+1 </endperson24>,0.0 </endperson24>
7,179:17,4,isnt:-1 performances:-1 acting:-1 </endperson25>,179</endperson25>,4,performance:+1 scenes:+1 </endperson25>,0.0 </endperson25>
0,190:15,4, </endperson26>,190</endperson26>,3,scenes:+1 </endperson26>,0.6285005894919292 </endperson26>
0,433:15,4,chemistry:+1 cast:+1 films:+1 character:+1 </endperson27>,433</endperson27>,4,</endperson27>,0.3477198793658911 </endperson27>
465,306:468,4,films:+1 watch:+1 scene:-1 </endperson28>,306</endperson28>,3,chemistry:+1 performers:+1 genre:+1 movie:-1 </endperson28>,0.5219949628188675 </endperson28>
465,466:468,4,character:+1 plot:+1 </endperson29>,466</endperson29>,3,</endperson29>,0.41834037985378436 </endperson29>
7,464:484,4,movie:+1 </endperson30>,464</endperson30>,3,moments:-1 sexreferences:-1 </endperson30>,0.0 </endperson30>
69,426:396,4, </endperson31>,426</endperson31>,2, </endperson31>,0.42665785624234076 </endperson31>
7,506:89,4,films:+1 </endperson32>,506</endperson32>,5,moments:-1 scenes:-1 </endperson32>,0.0 </endperson32>
306,0:79,4,isnt:+1 isnt:-1 </endperson33>,0</endperson33>,3,scenes:+1 ending:-1 </endperson33>,0.4832070976939513 </endperson33>
5,7:251,4,storyline:+1 bonus:-1 </endperson34>,7</endperson34>,4,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson34>,0.0 </endperson34>
5,113:251,5,actors:+1 films:+1 performance:+1 director:+1 comedy:+1 screens:-1 comedy:-1 </endperson35>,113</endperson35>,5,</endperson35>,0.5156413634597189 </endperson35>
5,123:251,4,films:+1 actors:+1 movie:+1 isnt:+1 fiance:-1 performance:-1 watch:-1 </endperson36>,123</endperson36>,3,</endperson36>,0.35430437621898236 </endperson36>
5,306:251,4,reviews:-1 </endperson37>,306</endperson37>,5,</endperson37>,0.3315661459188768 </endperson37>
5,310:251,4,ending:+1 movie:-1 </endperson38>,310</endperson38>,5,</endperson38>,0.35825607096656054 </endperson38>
5,397:251,4,character:+1 video:+1 </endperson39>,397</endperson39>,4,</endperson39>,0.0 </endperson39>
5,398:251,5,films:-1 character:-1 movie:-1 </endperson40>,398</endperson40>,5,</endperson40>,0.1350910256780964 </endperson40>
5,469:251,5,movie:+1 character:-1 </endperson41>,469</endperson41>,5,</endperson41>,0.43753776508593634 </endperson41>
7,190:79,4,character:-1 </endperson42>,190</endperson42>,4,films:+1 actors:-1 character:-1 </endperson42>,0.0 </endperson42>
69,398:64,4,comedy:+1 </endperson43>,398</endperson43>,5,movie:+1 movie:-1 watch:-1 </endperson43>,0.3420272102935258 </endperson43>
67,97:547,4,actionscenes:+1 reviews:-1 </endperson44>,97</endperson44>,4,specialeffects:+1 screen:+1 movies:-1 specialeffects:-1 </endperson44>,0.25153703494110324 </endperson44>
7,157:415,4,performances:+1 </endperson45>,157</endperson45>,3, </endperson45>,0.0 </endperson45>
101,306:468,4,films:+1 watch:+1 scene:-1 </endperson46>,306</endperson46>,3,films:-1 moments:-1 sexreferences:-1 </endperson46>,0.6316309549580813 </endperson46>
101,466:468,4,character:+1 plot:+1 </endperson47>,466</endperson47>,3,</endperson47>,0.4361190745579766 </endperson47>
465,306:14,4,chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 </endperson48>,306</endperson48>,4,strings:+1 franchise:-1 movie:-1 </endperson48>,0.5219949628188675 </endperson48>
465,398:14,4,movie:+1 </endperson49>,398</endperson49>,4,</endperson49>,0.3317078920007577 </endperson49>
465,469:14,4, </endperson50>,469</endperson50>,4,</endperson50>,0.45253613654182356 </endperson50>
123,5:146,4, </endperson51>,5</endperson51>,5,character:+1 </endperson51>,0.35430437621898236 </endperson51>
433,5:396,4,hero:+1 watch:-1 </endperson52>,5</endperson52>,5, </endperson52>,0.2889731308113104 </endperson52>
0,426:50,4,wifes:-1 </endperson53>,426</endperson53>,5,films:+1 character:-1 </endperson53>,0.2667544920249181 </endperson53>
465,5:251,4,actors:+1 moments:+1 scenes:+1 actors:-1 character:-1 </endperson54>,5</endperson54>,5,actors:+1 character:+1 movie:+1 performances:+1 suspense:-1 </endperson54>,0.5561239404851935 </endperson54>
2,322:94,4, </endperson55>,322</endperson55>,5,movie:+1 moving:-1 </endperson55>,0.0 </endperson55>
2,781:94,3, </endperson56>,781</endperson56>,3,</endperson56>,0.0 </endperson56>
318,7:421,4,soundtrack:+1 chickflick:+1 bonus:-1 </endperson57>,7</endperson57>,5, </endperson57>,0.0 </endperson57>
7,132:487,5,watch:+1 scenes:+1 films:-1 </endperson58>,132</endperson58>,5,actors:+1 character:+1 acting:+1 bonus:-1 </endperson58>,0.0 </endperson58>
7,188:487,4,wasnt:-1 </endperson59>,188</endperson59>,4,</endperson59>,0.0 </endperson59>
7,290:487,5, </endperson60>,290</endperson60>,1,</endperson60>,0.0 </endperson60>
7,297:487,4,chemistry:+1 character:-1 </endperson61>,297</endperson61>,4,</endperson61>,0.0 </endperson61>
318,5:396,4,hero:+1 watch:-1 </endperson62>,5</endperson62>,5,movie:+1 movie:-1 acting:-1 </endperson62>,0.0 </endperson62>
318,69:396,4, </endperson63>,69</endperson63>,3,</endperson63>,0.28786199284312364 </endperson63>
