user,item,rating
5,0,4
7,0,5
67,0,4
143,0,4
129,0,4
189,0,4
9,0,4
191,0,4
69,0,4
8,0,4
1,0,4
185,0,5
4,0,4
180,0,5
101,0,4
504,0,4
308,0,4
122,0,4
433,0,4
464,0,5
407,0,5
7,2,4
310,2,4
67,2,4
113,2,5
191,2,4
151,2,4
1,2,4
4,2,4
465,2,4
97,2,4
180,2,4
101,2,4
426,2,4
84,2,4
308,2,4
433,2,4
63,2,4
288,2,4
94,2,4
464,2,4
5,6,4
67,6,4
113,6,4
191,6,4
1,6,4
6,6,4
185,6,4
4,6,4
97,6,4
99,6,4
101,6,4
426,6,4
504,6,4
84,6,4
115,6,4
308,6,4
98,6,4
73,6,4
179,6,4
178,6,4
5,7,4
235,7,4
7,7,4
67,7,4
129,7,4
189,7,4
151,7,4
185,7,4
4,7,4
180,7,4
99,7,4
101,7,4
426,7,4
395,7,4
115,7,4
308,7,4
141,7,4
73,7,4
179,7,4
289,9,4
7,9,4
67,9,4
88,9,4
189,9,4
151,9,4
123,9,4
1,9,4
4,9,4
180,9,5
99,9,5
426,9,4
504,9,4
395,9,4
308,9,4
181,9,4
63,9,4
94,9,4
7,14,4
67,14,4
143,14,4
88,14,4
113,14,4
151,14,4
123,14,4
1,14,4
6,14,5
185,14,4
4,14,5
101,14,4
306,14,4
308,14,4
433,14,4
107,14,4
110,14,4
94,14,4
7,15,4
310,15,4
67,15,4
189,15,4
318,15,4
151,15,4
409,15,4
1,15,4
185,15,5
4,15,4
101,15,4
395,15,4
115,15,5
308,15,4
399,15,4
110,15,4
94,15,4
5,17,4
67,17,4
113,17,4
189,17,4
318,17,4
151,17,4
409,17,4
6,17,4
4,17,4
101,17,4
84,17,4
395,17,4
306,17,4
308,17,5
181,17,4
399,17,4
94,17,4
5,26,4
7,26,4
88,26,4
189,26,4
318,26,4
191,26,4
4,26,5
465,26,4
101,26,4
504,26,4
115,26,5
308,26,4
488,26,4
122,26,4
399,26,4
107,26,4
5,28,4
235,28,4
7,28,4
67,28,4
9,28,4
318,28,4
191,28,4
151,28,4
1,28,4
4,28,4
465,28,4
101,28,4
115,28,5
488,28,4
181,28,4
122,28,4
314,28,4
412,28,4
110,28,4
7,40,4
9,40,3
191,40,4
311,40,4
151,40,4
4,40,4
469,40,4
504,40,4
84,40,4
308,40,4
399,40,4
396,40,4
466,40,4
279,40,4
110,40,4
276,40,4
5,54,4
7,54,4
9,54,4
318,54,4
151,54,4
123,54,4
6,54,4
4,54,4
469,54,4
115,54,4
306,54,4
308,54,4
122,54,4
319,54,4
136,54,4
276,54,4
7,64,4
129,64,4
9,64,4
318,64,4
398,64,4
151,64,4
123,64,4
4,64,4
397,64,4
469,64,4
504,64,4
308,64,4
122,64,4
58,64,4
136,64,4
412,64,4
110,64,4
9,65,4
318,65,4
398,65,4
151,65,4
123,65,4
1,65,4
6,65,4
4,65,4
397,65,4
469,65,4
504,65,4
115,65,5
308,65,4
279,65,4
136,65,4
412,65,5
110,65,4
310,73,4
143,73,4
9,73,4
318,73,4
151,73,4
6,73,4
4,73,4
465,73,4
469,73,4
504,73,4
115,73,5
306,73,4
308,73,4
122,73,4
319,73,4
136,73,4
110,73,4
276,73,4
432,75,4
143,75,4
9,75,4
318,75,4
151,75,4
409,75,4
123,75,4
2,75,4
4,75,4
465,75,4
504,75,4
115,75,4
228,75,4
308,75,4
122,75,4
319,75,4
5,78,4
310,78,4
143,78,4
9,78,4
318,78,4
151,78,4
123,78,4
6,78,4
2,78,4
4,78,4
504,78,4
84,78,4
115,78,4
308,78,4
122,78,4
319,78,4
136,78,4
190,78,4
432,90,4
235,90,4
9,90,4
318,90,4
151,90,4
409,90,4
6,90,4
2,90,4
89,90,4
504,90,4
115,90,4
308,90,4
508,90,4
319,90,5
279,90,4
136,90,4
143,94,4
9,94,4
318,94,4
151,94,4
409,94,4
123,94,4
6,94,4
2,94,4
504,94,4
395,94,4
115,94,4
306,94,4
308,94,4
122,94,4
319,94,4
136,94,4
235,112,4
7,112,4
143,112,4
9,112,4
151,112,4
409,112,4
6,112,4
2,112,4
395,112,4
308,112,4
141,112,4
319,112,4
500,112,4
11,112,4
136,112,4
276,112,4
432,128,4
129,128,4
60,128,4
9,128,4
151,128,4
409,128,4
6,128,4
293,128,4
2,128,4
4,128,4
84,128,4
395,128,4
308,128,4
500,128,4
136,128,4
278,128,4
190,128,4
7,132,4
9,132,4
151,132,4
409,132,4
123,132,4
144,132,4
6,132,4
2,132,4
4,132,4
84,132,4
395,132,4
306,132,4
308,132,4
500,132,4
11,132,4
136,132,4
276,132,4
289,65,4
5,65,4
235,65,4
7,65,4
310,65,4
67,65,4
143,65,4
88,65,4
113,65,4
9,65,4
191,65,4
290,65,4
409,65,4
185,65,4
0,65,4
2,65,4
465,65,4
97,65,4
180,65,4
101,65,4
84,65,4
306,65,4
308,65,4
107,65,5
179,65,4
82,65,4
289,245,4
5,245,4
67,245,4
143,245,4
88,245,4
113,245,4
9,245,4
8,245,4
97,245,4
180,245,4
426,245,4
504,245,4
497,245,4
228,245,4
96,245,4
63,245,4
95,245,4
464,245,4
143,260,4
60,260,4
9,260,4
318,260,4
151,260,4
409,260,4
123,260,4
6,260,4
0,260,4
504,260,4
84,260,4
115,260,4
58,260,4
319,260,4
500,260,4
11,260,4
279,260,4
136,260,4
432,279,4
5,279,4
129,279,4
9,279,4
151,279,4
409,279,4
123,279,4
144,279,4
6,279,4
0,279,4
293,279,4
4,279,4
504,279,4
306,279,4
308,279,4
500,279,4
432,282,4
5,282,4
7,282,4
60,282,4
9,282,4
151,282,4
123,282,4
6,282,4
0,282,4
293,282,4
4,282,4
504,282,4
497,282,4
308,282,4
320,282,4
500,282,4
278,282,4
432,285,4
60,285,4
9,285,4
151,285,4
409,285,4
123,285,4
6,285,4
4,285,4
89,285,4
504,285,4
395,285,4
306,285,4
308,285,4
320,285,4
500,285,4
279,285,4
136,285,4
7,286,4
60,286,4
9,286,4
318,286,4
151,286,4
123,286,4
144,286,4
0,286,4
4,286,4
504,286,4
497,286,4
306,286,4
308,286,4
58,286,4
500,286,4
11,286,4
432,100,4
143,100,4
129,100,4
60,100,4
9,100,4
151,100,4
8,100,4
144,100,4
1,100,4
6,100,4
4,100,4
504,100,4
84,100,4
395,100,4
308,100,4
500,100,4
276,100,4
5,275,4
235,275,4
67,275,4
113,275,4
129,275,4
189,275,4
69,275,4
151,275,4
8,275,4
409,275,4
465,275,4
97,275,4
497,275,4
308,275,4
488,275,4
433,275,4
132,275,4
288,275,4
5,375,4
67,375,3
113,375,4
69,375,4
8,375,4
465,375,4
180,375,4
99,375,4
101,375,4
497,375,4
395,375,4
115,375,4
308,375,4
288,375,4
94,375,4
464,375,4
5,376,4
7,376,4
310,376,4
67,376,3
143,376,4
113,376,4
129,376,4
189,376,3
191,376,4
290,376,4
409,376,3
185,376,3
0,376,4
2,376,4
465,376,4
99,376,4
101,376,4
395,376,4
308,376,4
122,376,4
73,376,4
179,376,4
63,376,4
190,376,4
110,376,4
94,376,4
5,40,4
7,40,4
310,40,4
143,40,4
189,40,4
9,40,3
398,40,4
151,40,4
0,40,4
465,40,4
397,40,4
101,40,4
308,40,4
488,40,4
399,40,4
63,40,4
136,40,4
110,40,4
432,377,4
5,377,4
310,377,4
129,377,4
60,377,4
9,377,3
151,377,4
144,377,4
6,377,4
2,377,4
84,377,3
395,377,4
308,377,4
320,377,3
384,377,3
