@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE side STRING

@DATA
0,0,3,5;0:0;4 7;0:0;5 67;0:0;4 143;0:0;4 129;0:0;4 189;0:0;4 9;0:0;4 191;0:0;4 69;0:0;4 8;0:0;4 1;0:0;4 185;0:0;5 4;0:0;4 180;0:0;5 101;0:0;4 504;0:0;4 308;0:0;4 122;0:0;4 433;0:0;4 464;0:0;5 407;0:0;5
0,1,3,
0,2,5,7;0:2;4 310;0:2;4 67;0:2;4 113;0:2;5 191;0:2;4 151;0:2;4 1;0:2;4 4;0:2;4 465;0:2;4 97;0:2;4 180;0:2;4 101;0:2;4 426;0:2;4 84;0:2;4 308;0:2;4 433;0:2;4 63;0:2;4 288;0:2;4 94;0:2;4 464;0:2;4
0,6,4,5;0:6;4 67;0:6;4 113;0:6;4 191;0:6;4 1;0:6;4 6;0:6;4 185;0:6;4 4;0:6;4 97;0:6;4 99;0:6;4 101;0:6;4 426;0:6;4 504;0:6;4 84;0:6;4 115;0:6;4 308;0:6;4 98;0:6;4 73;0:6;4 179;0:6;4 178;0:6;4
0,7,4,5;0:7;4 235;0:7;4 7;0:7;4 67;0:7;4 129;0:7;4 189;0:7;4 151;0:7;4 185;0:7;4 4;0:7;4 180;0:7;4 99;0:7;4 101;0:7;4 426;0:7;4 395;0:7;4 115;0:7;4 308;0:7;4 141;0:7;4 73;0:7;4 179;0:7;4
0,9,4,289;0:9;4 7;0:9;4 67;0:9;4 88;0:9;4 189;0:9;4 151;0:9;4 123;0:9;4 1;0:9;4 4;0:9;4 180;0:9;5 99;0:9;5 426;0:9;4 504;0:9;4 395;0:9;4 308;0:9;4 181;0:9;4 63;0:9;4 94;0:9;4
0,14,4,7;0:14;4 67;0:14;4 143;0:14;4 88;0:14;4 113;0:14;4 151;0:14;4 123;0:14;4 1;0:14;4 6;0:14;5 185;0:14;4 4;0:14;5 101;0:14;4 306;0:14;4 308;0:14;4 433;0:14;4 107;0:14;4 110;0:14;4 94;0:14;4
0,15,3,7;0:15;4 310;0:15;4 67;0:15;4 189;0:15;4 318;0:15;4 151;0:15;4 409;0:15;4 1;0:15;4 185;0:15;5 4;0:15;4 101;0:15;4 395;0:15;4 115;0:15;5 308;0:15;4 399;0:15;4 110;0:15;4 94;0:15;4
0,17,4,5;0:17;4 67;0:17;4 113;0:17;4 189;0:17;4 318;0:17;4 151;0:17;4 409;0:17;4 6;0:17;4 4;0:17;4 101;0:17;4 84;0:17;4 395;0:17;4 306;0:17;4 308;0:17;5 181;0:17;4 399;0:17;4 94;0:17;4
0,21,4,
0,24,4,
0,25,2,
0,26,3,5;0:26;4 7;0:26;4 88;0:26;4 189;0:26;4 318;0:26;4 191;0:26;4 4;0:26;5 465;0:26;4 101;0:26;4 504;0:26;4 115;0:26;5 308;0:26;4 488;0:26;4 122;0:26;4 399;0:26;4 107;0:26;4
0,27,4,
0,28,3,5;0:28;4 235;0:28;4 7;0:28;4 67;0:28;4 9;0:28;4 318;0:28;4 191;0:28;4 151;0:28;4 1;0:28;4 4;0:28;4 465;0:28;4 101;0:28;4 115;0:28;5 488;0:28;4 181;0:28;4 122;0:28;4 314;0:28;4 412;0:28;4 110;0:28;4
0,32,4,
0,33,3,
0,35,4,
0,36,5,
0,40,4,7;0:40;4 9;0:40;3 191;0:40;4 311;0:40;4 151;0:40;4 4;0:40;4 469;0:40;4 504;0:40;4 84;0:40;4 308;0:40;4 399;0:40;4 396;0:40;4 466;0:40;4 279;0:40;4 110;0:40;4 276;0:40;4
0,42,3,
0,45,3,
0,46,5,
0,48,5,
0,50,4,
0,52,4,
0,54,4,5;0:54;4 7;0:54;4 9;0:54;4 318;0:54;4 151;0:54;4 123;0:54;4 6;0:54;4 4;0:54;4 469;0:54;4 115;0:54;4 306;0:54;4 308;0:54;4 122;0:54;4 319;0:54;4 136;0:54;4 276;0:54;4
0,55,3,
0,59,3,
0,60,5,
0,62,4,
0,63,3,
0,64,4,7;0:64;4 129;0:64;4 9;0:64;4 318;0:64;4 398;0:64;4 151;0:64;4 123;0:64;4 4;0:64;4 397;0:64;4 469;0:64;4 504;0:64;4 308;0:64;4 122;0:64;4 58;0:64;4 136;0:64;4 412;0:64;4 110;0:64;4
0,65,3,9;0:65;4 318;0:65;4 398;0:65;4 151;0:65;4 123;0:65;4 1;0:65;4 6;0:65;4 4;0:65;4 397;0:65;4 469;0:65;4 504;0:65;4 115;0:65;5 308;0:65;4 279;0:65;4 136;0:65;4 412;0:65;5 110;0:65;4
0,71,4,
0,72,3,
0,73,5,310;0:73;4 143;0:73;4 9;0:73;4 318;0:73;4 151;0:73;4 6;0:73;4 4;0:73;4 465;0:73;4 469;0:73;4 504;0:73;4 115;0:73;5 306;0:73;4 308;0:73;4 122;0:73;4 319;0:73;4 136;0:73;4 110;0:73;4 276;0:73;4
0,75,3,432;0:75;4 143;0:75;4 9;0:75;4 318;0:75;4 151;0:75;4 409;0:75;4 123;0:75;4 2;0:75;4 4;0:75;4 465;0:75;4 504;0:75;4 115;0:75;4 228;0:75;4 308;0:75;4 122;0:75;4 319;0:75;4
0,76,5,
0,77,3,
0,78,3,5;0:78;4 310;0:78;4 143;0:78;4 9;0:78;4 318;0:78;4 151;0:78;4 123;0:78;4 6;0:78;4 2;0:78;4 4;0:78;4 504;0:78;4 84;0:78;4 115;0:78;4 308;0:78;4 122;0:78;4 319;0:78;4 136;0:78;4 190;0:78;4
0,79,3,
0,81,2,
0,82,4,
0,86,4,
0,89,4,
0,90,3,432;0:90;4 235;0:90;4 9;0:90;4 318;0:90;4 151;0:90;4 409;0:90;4 6;0:90;4 2;0:90;4 89;0:90;4 504;0:90;4 115;0:90;4 308;0:90;4 508;0:90;4 319;0:90;5 279;0:90;4 136;0:90;4
0,94,3,143;0:94;4 9;0:94;4 318;0:94;4 151;0:94;4 409;0:94;4 123;0:94;4 6;0:94;4 2;0:94;4 504;0:94;4 395;0:94;4 115;0:94;4 306;0:94;4 308;0:94;4 122;0:94;4 319;0:94;4 136;0:94;4
0,98,4,
0,99,5,
0,100,4,
0,101,2,
0,103,3,
0,106,4,
0,111,4,
