@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE side STRING

@DATA
103,633,3,
73,209,5,
466,410,5,
98,146,5,
459,28,3,
185,249,3,
144,746,3,
459,531,4,
97,1031,3,
7,500,3,
459,151,5,
103,255,3,
488,106,3,
7,496,2,
311,762,4,
412,494,4,
318,599,5,5;318:599;3 235;318:599;3 7;318:599;3 9;318:599;3 191;318:599;3 398;318:599;4 410;318:599;4 0;318:599;3 4;318:599;3 397;318:599;3 89;318:599;4 115;318:599;3 306;318:599;3 308;318:599;3 58;318:599;3 396;318:599;3 319;318:599;3 136;318:599;3 110;318:599;4
1,190,5,
69,46,5,
426,1069,5,
398,251,5,289;398:251;5 5;398:251;5 7;398:251;5 143;398:251;4 9;398:251;4 318;398:251;5 191;398:251;4 69;398:251;4 123;398:251;4 6;398:251;5 0;398:251;5 4;398:251;4 397;398:251;5 469;398:251;5 101;398:251;5 306;398:251;5 488;398:251;4 181;398:251;5 399;398:251;4 396;398:251;5 314;398:251;5 468;398:251;4 483;398:251;5 110;398:251;4
96,1062,2,
84,641,4,
9,394,4,
0,100,4,
7,200,4,
7,549,4,
4,261,4,
7,450,5,
111,581,1,
103,26,4,
141,101,1,
123,1019,5,
113,759,4,
11,503,4,
190,625,4,
99,40,3,
101,632,4,
191,1131,4,
2,300,4,
308,52,3,
67,318,3,
465,78,3,
308,510,4,
465,266,3,
185,993,4,
466,1276,5,
7,643,4,
276,643,4,
0,65,3,9;0:65;4 318;0:65;4 398;0:65;4 151;0:65;4 123;0:65;4 1;0:65;4 6;0:65;4 4;0:65;4 397;0:65;4 469;0:65;4 504;0:65;4 115;0:65;5 308;0:65;4 279;0:65;4 136;0:65;4 412;0:65;5 110;0:65;4
190,383,5,
465,1023,1,
187,511,5,
308,282,4,
311,98,4,
67,277,4,
7,46,3,
433,509,5,
410,450,4,
508,26,4,
465,624,4,
459,251,4,
7,468,4,
433,200,5,
306,90,5,
111,263,1,
7,505,4,
123,383,5,
464,484,3,
67,528,3,
115,81,4,
0,94,3,143;0:94;4 9;0:94;4 318;0:94;4 151;0:94;4 409;0:94;4 123;0:94;4 6;0:94;4 2;0:94;4 504;0:94;4 395;0:94;4 115;0:94;4 306;0:94;4 308;0:94;4 122;0:94;4 319;0:94;4 136;0:94;4
8,314,1,
123,421,4,
63,465,4,289;63:465;5 5;63:465;4 67;63:465;4 88;63:465;4 129;63:465;4 189;63:465;4 69;63:465;4 8;63:465;4 409;63:465;4 180;63:465;4 99;63:465;4 101;63:465;5 426;63:465;4 504;63:465;4 115;63:465;4 96;63:465;4 488;63:465;4 122;63:465;4 110;63:465;4
0,46,5,
189,190,5,
67,1036,4,
468,376,2,
465,539,3,
463,644,5,
318,943,5,
67,0,4,
132,564,5,
103,500,4,
181,187,3,
190,746,5,
174,1031,4,
473,190,5,
311,403,5,
144,103,5,
8,675,4,
329,72,4,
5,411,5,
306,14,4,
319,251,4,
67,253,3,
306,144,5,
115,533,2,
8,32,4,5;8:32;4 235;8:32;4 67;8:32;4 143;8:32;4 113;8:32;4 189;8:32;4 69;8:32;4 6;8:32;5 293;8:32;4 4;8:32;4 465;8:32;4 180;8:32;4 99;8:32;4 96;8:32;4 308;8:32;4 132;8:32;5 107;8:32;4 190;8:32;4
407,466,1,
144,878,4,
465,1031,3,
180,268,1,289;180:268;5 5;180:268;4 7;180:268;4 67;180:268;5 129;180:268;4 189;180:268;4 69;180:268;4 8;180:268;4 123;180:268;4 1;180:268;4 185;180:268;4 4;180:268;4 465;180:268;4 97;180:268;4 99;180:268;5 101;180:268;4 497;180:268;4 433;180:268;4 132;180:268;4 288;180:268;4 407;180:268;4
228,245,5,
187,120,4,
433,410,4,
111,286,1,
103,100,4,
426,253,4,
136,71,3,
468,399,3,
466,35,4,
113,592,5,
465,260,3,
396,32,5,
67,138,4,
278,73,4,
9,0,5,235;9:0;5 67;9:0;4 143;9:0;5 129;9:0;5 69;9:0;4 151;9:0;4 409;9:0;4 185;9:0;5 4;9:0;4 97;9:0;5 180;9:0;4 99;9:0;5 101;9:0;4 426;9:0;4 395;9:0;4 308;9:0;5 90;9:0;4 141;9:0;4 288;9:0;5 174;9:0;5 110;9:0;4
7,144,5,
190,766,5,
459,526,5,
174,75,5,
308,762,3,
433,32,5,
84,151,4,
465,376,3,
123,99,5,
318,253,1,310;318:253;4 143;318:253;4 60;318:253;4 9;318:253;4 191;318:253;4 311;318:253;4 398;318:253;4 0;318:253;4 4;318:253;4 84;318:253;4 395;318:253;4 115;318:253;4 308;318:253;4 122;318:253;4 279;318:253;4 136;318:253;4 110;318:253;4
7,629,3,
459,99,4,
483,253,2,
191,437,5,
90,624,4,
97,733,3,
466,531,4,
110,9,5,
426,146,4,
0,133,3,
123,389,5,5;123:389;4 143;123:389;4 129;123:389;4 60;123:389;4 9;123:389;4 191;123:389;4 151;123:389;4 6;123:389;4 0;123:389;4 2;123:389;4 4;123:389;4 84;123:389;4 395;123:389;4 306;123:389;4 308;123:389;4 500;123:389;4
69,120,5,
433,463,3,
2,286,4,7;2:286;4 60;2:286;4 9;2:286;4 318;2:286;4 151;2:286;4 123;2:286;4 144;2:286;4 0;2:286;4 4;2:286;4 504;2:286;4 497;2:286;4 306;2:286;4 308;2:286;4 58;2:286;4 500;2:286;4 11;2:286;4
463,624,5,
101,657,4,
96,1115,2,
96,1052,4,
433,287,4,
9,467,2,235;9:467;5 7;9:467;4 67;9:467;4 143;9:467;5 88;9:467;4 129;9:467;4 189;9:467;5 318;9:467;4 8;9:467;4 6;9:467;5 185;9:467;5 293;9:467;4 4;9:467;4 97;9:467;4 180;9:467;5 99;9:467;4 101;9:467;4 426;9:467;4 504;9:467;4 308;9:467;4 90;9:467;4 433;9:467;4 132;9:467;4 73;9:467;4 63;9:467;4 288;9:467;4 110;9:467;4 178;9:467;4 94;9:467;4
0,14,4,7;0:14;4 67;0:14;4 143;0:14;4 88;0:14;4 113;0:14;4 151;0:14;4 123;0:14;4 1;0:14;4 6;0:14;5 185;0:14;4 4;0:14;5 101;0:14;4 306;0:14;4 308;0:14;4 433;0:14;4 107;0:14;4 110;0:14;4 94;0:14;4
110,412,3,
2,315,4,
293,6,5,
190,73,5,
88,386,5,5;88:386;4 67;88:386;4 113;88:386;4 9;88:386;4 69;88:386;4 398;88:386;4 8;88:386;4 1;88:386;4 97;88:386;4 180;88:386;4 99;88:386;4 426;88:386;4 84;88:386;4 395;88:386;4 96;88:386;4 308;88:386;4
95,468,3,
123,663,4,
122,112,2,
504,666,3,
103,251,5,
0,1,3,
6,79,4,
180,625,5,
101,397,5,
8,686,5,
7,631,5,
409,408,5,
9,734,2,235;9:734;4 67;9:734;4 143;9:734;4 129;9:734;4 191;9:734;4 69;9:734;4 290;9:734;4 151;9:734;4 1;9:734;4 185;9:734;5 465;9:734;4 504;9:734;4 181;9:734;4 122;9:734;4 399;9:734;4 314;9:734;4 94;9:734;4
488,1002,2,
110,71,5,
395,145,4,432;395:145;3 235;395:145;3 7;395:145;4 129;395:145;4 60;395:145;3 9;395:145;3 123;395:145;3 6;395:145;4 0;395:145;4 293;395:145;4 2;395:145;3 4;395:145;3 504;395:145;4 308;395:145;4 122;395:145;4 319;395:145;4 279;395:145;4 278;395:145;4 190;395:145;4
504,265,4,
7,441,3,67;7:441;4 9;7:441;4 69;7:441;4 290;7:441;4 8;7:441;4 6;7:441;4 293;7:441;4 4;7:441;4 180;7:441;4 504;7:441;4 395;7:441;4 96;7:441;4 433;7:441;4 132;7:441;5 73;7:441;4 95;7:441;4 94;7:441;4 407;7:441;4
497,959,5,
190,213,5,
88,521,4,289;88:521;4 5;88:521;4 235;88:521;4 7;88:521;4 67;88:521;4 113;88:521;4 129;88:521;4 189;88:521;4 69;88:521;4 8;88:521;4 293;88:521;4 465;88:521;4 180;88:521;4 497;88:521;4 96;88:521;4 433;88:521;4 63;88:521;4
465,413,4,
465,683,5,
468,447,3,
7,391,5,
190,599,3,
1,196,5,
129,72,4,
60,746,3,
473,644,4,
504,111,4,
97,33,3,
308,543,4,
459,626,4,
9,287,3,432;9:287;4 7;9:287;4 310;9:287;4 143;9:287;4 129;9:287;4 151;9:287;4 8;9:287;4 409;9:287;4 123;9:287;4 144;9:287;4 6;9:287;4 0;9:287;4 2;9:287;4 4;9:287;4 497;9:287;4 84;9:287;4 395;9:287;4 115;9:287;4 308;9:287;4 132;9:287;5 500;9:287;4 11;9:287;4 63;9:287;4 278;9:287;4 276;9:287;4
1,194,3,
306,633,4,
468,540,1,
67,182,3,
111,650,2,
433,15,4,
103,145,3,
97,106,4,
191,258,4,
276,260,4,
7,81,1,
465,684,2,
466,441,3,
465,505,4,
7,556,4,
8,394,5,
115,626,4,
9,731,2,235;9:731;4 67;9:731;5 143;9:731;4 129;9:731;4 1;9:731;4 4;9:731;4 180;9:731;4 99;9:731;4 101;9:731;4 497;9:731;4 395;9:731;4 90;9:731;4 433;9:731;4 288;9:731;4 178;9:731;5 95;9:731;4 94;9:731;4
465,32,3,
190,1131,3,
190,42,3,
96,1060,1,
468,1276,3,
174,585,5,
99,450,3,
190,493,5,
1,79,5,
468,499,2,
465,471,4,
7,17,4,
7,255,5,
399,377,1,
308,280,4,5;308:280;4 67;308:280;4 143;308:280;4 129;308:280;4 189;308:280;4 6;308:280;4 2;308:280;4 4;308:280;4 465;308:280;4 180;308:280;4 497;308:280;4 395;308:280;4 90;308:280;4 433;308:280;4 132;308:280;4 174;308:280;4 187;308:280;4 95;308:280;4
398,156,4,
2,277,2,
395,420,3,
178,571,4,
278,510,4,
174,329,3,
67,1002,4,
465,409,4,
174,194,4,
190,282,5,
143,762,1,
459,472,4,
190,411,4,
69,680,5,
7,571,4,
500,188,1,
