@RELATION @user-item

@ATTRIBUTE user STRING 
@ATTRIBUTE item STRING 
@ATTRIBUTE rating NUMERIC
@ATTRIBUTE sentiment STRING
@ATTRIBUTE help_user STRING
@ATTRIBUTE value STRING
@ATTRIBUTE help_sentiment STRING
@ATTRIBUTE help_tfIdf STRING
@ATTRIBUTE help_sim STRING

@DATA
0,0,3,performance:+1 specialeffects:+1 isnt:-1 acting:-1 </endperson0>,17;;;;33</endperson0>,4;;;;4</endperson0>,actress:+1 ;;;;director:+1 </endperson0>,actress:0.01838765973926172 ;;;;director:0.014978541564275864 </endperson0>,0.5609948823589027;;;;0.43765465385472213 </endperson0>
0,1,5,actress:+1 isnt:-1 </endperson1>,2;;;;24;;;;26;;;;34</endperson1>,4;;;;5;;;;4;;;;4</endperson1>,movies:+1 scenes:-1 ;;;;movie:+1 ;;;;acting:+1 ;;;;specialeffects:+1 scenes:+1 scenery:+1 </endperson1>,movies:0.06562311518793898 scenes:0.031603978616838974 ;;;;movie:0.014558468644203617 ;;;;acting:0.016666470198211096 ;;;;specialeffects:[0.014481837198394052|0.016038940133066122] scenes:0.03584077772609759 scenery:0.028375965331901367 </endperson1>,0.3409474450841292;;;;0.6074310951217071;;;;0.39769593612567444;;;;0.4046314364569883 </endperson1>
0,2,4,films:-1 actress:-1 humour:-1 </endperson2>,7;;;;35</endperson2>,4;;;;4</endperson2>,actors:+1 character:+1 comedy:+1 acting:+1 comedy:-1 ;;;;humour:+1 performance:-1 </endperson2>,actors:0.048820003131171054 character:0.013339392326667057 comedy:0.01821908257622013 acting:0.03313128540363078 comedy:0.01821908257622013 ;;;;humour:[0.0|0.0] performance:0.013330234601188895 </endperson2>,0.38325313770585434;;;;0.3813810886979454 </endperson2>
0,3,4,isnt:+1 scenes:+1 isnt:-1 </endperson3>,7</endperson3>,4</endperson3>,chemistry:+1 storyline:+1 watch:-1 bonus:-1 </endperson3>,chemistry:0.018503398923950004 storyline:0.018093710553195804 watch:0.021523204228307617 bonus:0.023009497396899337 </endperson3>,0.38325313770585434 </endperson3>
0,4,4,isnt:+1 character:-1 isnt:-1 </endperson4>,2;;;;19;;;;33</endperson4>,4;;;;4;;;;4</endperson4>, ;;;;rundown:-1 ;;;;actors:+1 isnt:-1 pace:-1 </endperson4>, ;;;;rundown:0.03395968461593257 ;;;;actors:0.010246205449334857 isnt:[0.09946516363724123|0.0|0.0] pace:0.016796263850083384 </endperson4>,0.3409474450841292;;;;0.6077750837088939;;;;0.43765465385472213 </endperson4>
0,5,4,isnt:+1 horrorfilms:+1 character:-1 isnt:-1 </endperson5>,19;;;;22;;;;32</endperson5>,4;;;;4;;;;5</endperson5>,films:+1 character:+1 scenes:+1 ;;;;movie:+1 acting:+1 character:-1 plot:-1 ;;;; </endperson5>,films:0.05110357259234279 character:0.034797614440833444 scenes:0.007331405646664002 ;;;;movie:0.11038682687626132 acting:0.00886886160676358 character:0.028566407375324926 plot:0.02360935963544332 ;;;; </endperson5>,0.6077750837088939;;;;0.5120719845859063;;;;0.5323637747028892 </endperson5>
0,6,4,character:-1 isnt:-1 </endperson6>,12;;;;28;;;;42;;;;43</endperson6>,4;;;;4;;;;4;;;;4</endperson6>,stunt:+1 films:-1 ;;;;budget:+1 ;;;;chemistry:+1 character:+1 performance:+1 humour:+1 actionscenes:+1 script:+1 films:-1 plot:-1 ;;;;movie:+1 movie:-1 </endperson6>,stunt:0.02611850843156656 films:0.026806291291380877 ;;;;budget:0.013937632030344411 ;;;;chemistry:0.034934294464250025 character:0.005152683287924836 performance:0.014001555340244907 humour:[0.0|0.008795377445124286] actionscenes:[0.05335826013419004|0.014130928311084071|0.0] script:0.01755963969238451 films:0.059456575143616325 plot:0.017034211020492004 ;;;;movie:0.15139647525572988 movie:0.15139647525572988 </endperson6>,0.34385210366418417;;;;0.5441052937822543;;;;0.2771229639782524;;;;0.20773745570118418 </endperson6>
0,7,3,scenes:+1 </endperson7>,7;;;;20;;;;45</endperson7>,4;;;;4;;;;4</endperson7>,ending:+1 ;;;;acting:+1 ;;;;movie:+1 isnt:+1 movie:-1 </endperson7>,ending:0.02275154761179683 ;;;;acting:0.030205966052479348 ;;;;movie:0.07811057688860133 isnt:[0.07480776621585673|0.0|0.0] movie:0.07811057688860133 </endperson7>,0.38325313770585434;;;;0.4645373119835329;;;;0.4877118807394252 </endperson7>
0,8,4,performance:+1 character:-1 </endperson8>,7;;;;12;;;;13;;;;53</endperson8>,4;;;;4;;;;4;;;;4</endperson8>,performance:+1 scenes:+1 ;;;;movie:+1 tfeel:+1 films:-1 ;;;;character:+1 movie:+1 ;;;;score:+1 </endperson8>,performance:0.025307190801197574 scenes:0.029432702742287084 ;;;;movie:0.07418515912151898 tfeel:[0.0|0.009161848826108845] films:0.05873756806767463 ;;;;character:0.028374587870171674 movie:0.10233588818409567 ;;;;score:0.01983242277931369 </endperson8>,0.38325313770585434;;;;0.34385210366418417;;;;0.5298897603349025;;;;0.5658247698714163 </endperson8>
0,9,4,tfeel:+1 humour:+1 scenes:+1 moments:-1 </endperson9>,7;;;;11;;;;42</endperson9>,4;;;;4;;;;4</endperson9>,sexreferences:-1 ;;;; ;;;;films:+1 isnt:+1 </endperson9>,sexreferences:[0.026561827029776414|0.0|0.0] ;;;; ;;;;films:0.033165542513447985 isnt:[0.11093996331048442|0.0|0.0] </endperson9>,0.38325313770585434;;;;0.48182112168765834;;;;0.2771229639782524 </endperson9>
